,Site,OrdinalDate,Species,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,GDD,total,DI,year
230,Chaut,165,Hesperotettix viridis,2,4,4,0,0,0,NA,10,2.2,2010
231,Chaut,169,Hesperotettix viridis,2,5,5,0,0,0,NA,12,2.25,2010
232,Chaut,176,Hesperotettix viridis,0,1,5,3,0,0,NA,9,3.222222222,2010
233,Chaut,182,Hesperotettix viridis,0,0,3,3,0,0,NA,6,3.5,2010
234,Chaut,187,Hesperotettix viridis,0,1,4,6,1,0,NA,12,3.583333333,2010
235,Chaut,195,Hesperotettix viridis,0,0,0,2,5,0,NA,7,4.714285714,2010
236,Chaut,201,Hesperotettix viridis,0,0,1,3,7,2,NA,13,4.769230769,2010
237,Chaut,209,Hesperotettix viridis,0,0,0,3,6,5,NA,14,5.142857143,2010
314,Chaut,148,Hesperotettix viridis,1,0,0,0,0,0,NA,1,1,2011
315,Chaut,158,Hesperotettix viridis,4,2,0,0,0,0,NA,6,1.333333333,2011
316,Chaut,169,Hesperotettix viridis,1,4,5,0,0,0,NA,10,2.4,2011
317,Chaut,176,Hesperotettix viridis,0,1,3,1,0,0,NA,5,3,2011
318,Chaut,183,Hesperotettix viridis,0,0,4,2,5,0,NA,11,4.090909091,2011
319,Chaut,190,Hesperotettix viridis,0,0,0,1,5,0,NA,6,4.833333333,2011
320,Chaut,203,Hesperotettix viridis,0,0,0,0,2,3,NA,5,5.6,2011
412,Chaut,169,Melanoplus bivittatus,2,19,46,21,4,0,342.325,92,3.065217391,1959
413,Chaut,176,Melanoplus bivittatus,0,1,12,28,6,0,414.237,47,3.829787234,1959
414,Chaut,190,Melanoplus bivittatus,0,1,25,27,23,10,536.982,86,4.186046512,1959
415,Chaut,197,Melanoplus bivittatus,0,0,3,4,12,15,600.442,34,5.147058824,1959
416,Chaut,204,Melanoplus bivittatus,0,0,5,4,5,13,665.66,27,4.962962963,1959
417,Chaut,210,Melanoplus bivittatus,0,0,5,11,7,29,732.657,52,5.153846154,1959
418,Chaut,219,Melanoplus bivittatus,0,0,2,7,5,12,819.797,26,5.038461538,1959
419,Chaut,225,Melanoplus bivittatus,0,0,0,3,3,15,887.552,21,5.571428571,1959
420,Chaut,233,Melanoplus bivittatus,0,0,0,0,2,12,964.394,14,5.857142857,1959
421,Chaut,239,Melanoplus bivittatus,0,0,0,1,2,19,1026.25,22,5.818181818,1959
422,Chaut,245,Melanoplus bivittatus,0,0,0,0,0,11,1080.62,11,6,1959
423,Chaut,253,Melanoplus bivittatus,0,0,0,0,2,17,1158.59,19,5.894736842,1959
424,Chaut,261,Melanoplus bivittatus,0,0,0,0,1,0,1200.71,1,5,1959
425,Chaut,281,Melanoplus bivittatus,0,0,0,0,0,1,1234.31,1,6,1959
510,Chaut,146,Melanoplus bivittatus,4,1,0,0,0,0,207.29,5,1.2,1960
511,Chaut,150,Melanoplus bivittatus,6,2,1,1,0,0,228.962,10,1.7,1960
512,Chaut,152,Melanoplus bivittatus,2,6,4,1,0,0,245.817,13,2.307692308,1960
513,Chaut,155,Melanoplus bivittatus,0,20,25,0,0,0,277.867,45,2.555555556,1960
514,Chaut,159,Melanoplus bivittatus,50,37,22,3,0,0,309.144,112,1.803571429,1960
515,Chaut,162,Melanoplus bivittatus,37,15,16,5,1,0,323.502,74,1.891891892,1960
516,Chaut,165,Melanoplus bivittatus,36,25,19,3,1,0,339.102,84,1.904761905,1960
517,Chaut,168,Melanoplus bivittatus,35,51,45,3,3,0,365.049,137,2.182481752,1960
518,Chaut,172,Melanoplus bivittatus,4,30,32,17,5,0,415.467,88,2.875,1960
519,Chaut,175,Melanoplus bivittatus,6,8,30,10,2,0,441.687,56,2.892857143,1960
520,Chaut,179,Melanoplus bivittatus,4,10,36,9,1,0,484.912,60,2.883333333,1960
521,Chaut,182,Melanoplus bivittatus,1,1,13,3,8,0,525.017,26,3.615384615,1960
522,Chaut,186,Melanoplus bivittatus,0,9,7,7,8,5,566.37,36,3.805555556,1960
523,Chaut,189,Melanoplus bivittatus,0,4,16,13,9,4,582.672,46,3.847826087,1960
524,Chaut,193,Melanoplus bivittatus,0,0,2,7,5,7,631.503,21,4.80952381,1960
525,Chaut,196,Melanoplus bivittatus,0,0,31,30,16,10,656.668,87,4.057471264,1960
526,Chaut,200,Melanoplus bivittatus,0,0,0,22,39,19,700.777,80,4.9625,1960
527,Chaut,203,Melanoplus bivittatus,0,0,2,16,14,5,737.609,37,4.594594595,1960
528,Chaut,207,Melanoplus bivittatus,0,0,2,14,30,28,789.496,74,5.135135135,1960
529,Chaut,210,Melanoplus bivittatus,0,0,0,7,3,14,835.494,24,5.291666667,1960
530,Chaut,215,Melanoplus bivittatus,0,0,1,2,9,18,898.772,30,5.466666667,1960
531,Chaut,224,Melanoplus bivittatus,0,0,2,8,35,36,992.262,81,5.296296296,1960
532,Chaut,231,Melanoplus bivittatus,0,0,0,1,4,25,1059.92,30,5.8,1960
533,Chaut,237,Melanoplus bivittatus,0,0,0,0,1,34,1127.06,35,5.971428571,1960
534,Chaut,244,Melanoplus bivittatus,0,0,0,0,0,5,1203.12,5,6,1960
535,Chaut,258,Melanoplus bivittatus,0,0,0,0,0,13,1337,13,6,1960
536,Chaut,271,Melanoplus bivittatus,0,0,0,0,0,16,1401.97,16,6,1960
18,Chaut,135,Melanoplus bivittatus,6,0,0,0,0,0,156.865,6,1,2007
19,Chaut,141,Melanoplus bivittatus,14,1,0,0,0,0,188.59,15,1.066666667,2007
20,Chaut,150,Melanoplus bivittatus,10,3,0,0,0,0,221.926,13,1.230769231,2007
21,Chaut,155,Melanoplus bivittatus,16,10,6,0,0,0,243.924,32,1.6875,2007
22,Chaut,164,Melanoplus bivittatus,18,16,22,0,0,0,300.317,56,2.071428571,2007
23,Chaut,169,Melanoplus bivittatus,0,5,17,6,0,0,349.169,28,3.035714286,2007
24,Chaut,176,Melanoplus bivittatus,8,16,30,15,8,0,428.915,77,2.987012987,2007
25,Chaut,184,Melanoplus bivittatus,5,20,22,6,15,0,513.992,68,3.088235294,2007
26,Chaut,190,Melanoplus bivittatus,3,9,29,20,18,4,581.159,83,3.638554217,2007
27,Chaut,197,Melanoplus bivittatus,0,15,15,23,26,21,655.511,100,4.23,2007
28,Chaut,204,Melanoplus bivittatus,1,4,6,15,17,11,749.844,54,4.407407407,2007
29,Chaut,211,Melanoplus bivittatus,0,1,7,10,21,27,827.511,66,5,2007
30,Chaut,216,Melanoplus bivittatus,0,2,5,4,10,12,884.455,33,4.757575758,2007
31,Chaut,226,Melanoplus bivittatus,0,0,0,2,7,24,1006.96,33,5.666666667,2007
32,Chaut,232,Melanoplus bivittatus,0,0,0,1,3,27,1074.4,31,5.838709677,2007
33,Chaut,241,Melanoplus bivittatus,0,0,0,3,8,39,1164.2,50,5.72,2007
34,Chaut,249,Melanoplus bivittatus,0,0,0,0,4,53,1246.29,57,5.929824561,2007
35,Chaut,261,Melanoplus bivittatus,0,0,0,0,1,33,1312.03,34,5.970588235,2007
68,Chaut,127,Melanoplus bivittatus,4,0,0,0,0,0,85.301,4,1,2008
71,Chaut,137,Melanoplus bivittatus,2,6,1,0,0,0,107.25,9,1.888888889,2008
75,Chaut,151,Melanoplus bivittatus,28,18,14,3,0,0,180.291,63,1.873015873,2008
80,Chaut,156,Melanoplus bivittatus,58,28,10,3,0,0,212.24,99,1.575757576,2008
86,Chaut,161,Melanoplus bivittatus,44,31,18,3,0,0,228.534,96,1.791666667,2008
91,Chaut,167,Melanoplus bivittatus,134,74,65,23,3,0,267.858,299,1.953177258,2008
96,Chaut,172,Melanoplus bivittatus,46,47,42,40,10,0,307.618,185,2.572972973,2008
100,Chaut,178,Melanoplus bivittatus,24,27,73,16,6,3,364.386,149,2.744966443,2008
105,Chaut,185,Melanoplus bivittatus,19,47,64,49,47,8,428.152,234,3.35042735,2008
110,Chaut,190,Melanoplus bivittatus,26,36,53,58,49,39,482.06,261,3.708812261,2008
115,Chaut,196,Melanoplus bivittatus,8,29,44,91,86,42,548.202,300,4.146666667,2008
119,Chaut,206,Melanoplus bivittatus,0,2,15,17,32,53,680.147,119,5,2008
121,Chaut,212,Melanoplus bivittatus,0,0,14,14,22,90,756.48,140,5.342857143,2008
123,Chaut,220,Melanoplus bivittatus,0,0,3,3,6,59,855.758,71,5.704225352,2008
125,Chaut,230,Melanoplus bivittatus,0,0,0,0,6,48,929.834,54,5.888888889,2008
128,Chaut,240,Melanoplus bivittatus,0,0,0,0,2,46,1018.63,48,5.958333333,2008
130,Chaut,247,Melanoplus bivittatus,0,0,0,0,3,31,1069.9,34,5.911764706,2008
149,Chaut,133,Melanoplus bivittatus,6,1,0,0,0,0,NA,7,1.142857143,2009
150,Chaut,140,Melanoplus bivittatus,26,15,3,0,0,0,NA,44,1.477272727,2009
151,Chaut,147,Melanoplus bivittatus,15,9,7,0,0,0,NA,31,1.741935484,2009
152,Chaut,154,Melanoplus bivittatus,27,23,3,0,0,0,NA,53,1.547169811,2009
153,Chaut,161,Melanoplus bivittatus,183,238,93,18,3,0,NA,535,1.91588785,2009
154,Chaut,168,Melanoplus bivittatus,130,197,91,33,4,0,NA,455,2.085714286,2009
155,Chaut,177,Melanoplus bivittatus,52,68,45,26,10,0,NA,201,2.373134328,2009
156,Chaut,183,Melanoplus bivittatus,40,74,69,35,19,0,NA,237,2.658227848,2009
157,Chaut,191,Melanoplus bivittatus,1,10,50,48,20,3,NA,132,3.643939394,2009
158,Chaut,197,Melanoplus bivittatus,1,12,37,36,26,19,NA,131,4,2009
159,Chaut,203,Melanoplus bivittatus,0,6,33,33,37,32,NA,141,4.397163121,2009
160,Chaut,210,Melanoplus bivittatus,0,0,24,29,32,22,NA,107,4.485981308,2009
161,Chaut,218,Melanoplus bivittatus,0,0,3,5,22,45,NA,75,5.453333333,2009
162,Chaut,228,Melanoplus bivittatus,0,0,0,0,1,100,NA,101,5.99009901,2009
163,Chaut,235,Melanoplus bivittatus,0,0,0,0,1,37,NA,38,5.973684211,2009
238,Chaut,139,Melanoplus bivittatus,3,0,0,0,0,0,NA,3,1,2010
239,Chaut,143,Melanoplus bivittatus,5,3,0,0,0,0,NA,8,1.375,2010
240,Chaut,150,Melanoplus bivittatus,6,6,2,0,0,0,NA,14,1.714285714,2010
241,Chaut,157,Melanoplus bivittatus,12,5,3,0,0,0,NA,20,1.55,2010
242,Chaut,165,Melanoplus bivittatus,127,14,11,6,0,0,NA,158,1.341772152,2010
243,Chaut,169,Melanoplus bivittatus,257,80,19,16,1,0,NA,373,1.455764075,2010
244,Chaut,176,Melanoplus bivittatus,127,176,63,31,0,0,NA,397,1.994962217,2010
245,Chaut,182,Melanoplus bivittatus,23,65,131,31,7,0,NA,257,2.743190661,2010
246,Chaut,187,Melanoplus bivittatus,15,83,118,90,19,0,NA,325,3.046153846,2010
247,Chaut,195,Melanoplus bivittatus,8,42,170,128,36,0,NA,384,3.369791667,2010
248,Chaut,201,Melanoplus bivittatus,2,11,80,102,66,5,NA,266,3.879699248,2010
249,Chaut,209,Melanoplus bivittatus,0,3,30,37,61,12,NA,143,4.342657343,2010
250,Chaut,217,Melanoplus bivittatus,0,0,11,13,36,42,NA,102,5.068627451,2010
251,Chaut,225,Melanoplus bivittatus,0,0,1,2,12,114,NA,129,5.852713178,2010
252,Chaut,236,Melanoplus bivittatus,0,0,0,0,7,108,NA,115,5.939130435,2010
321,Chaut,119,Melanoplus bivittatus,2,0,0,0,0,NA,NA,NA,NA,2011
322,Chaut,126,Melanoplus bivittatus,12,2,0,0,0,0,NA,14,1.142857143,2011
323,Chaut,133,Melanoplus bivittatus,5,0,0,0,0,0,NA,5,1,2011
324,Chaut,140,Melanoplus bivittatus,20,15,1,0,0,0,NA,36,1.472222222,2011
325,Chaut,148,Melanoplus bivittatus,31,58,5,0,0,0,NA,94,1.723404255,2011
326,Chaut,158,Melanoplus bivittatus,57,26,14,0,0,0,NA,97,1.556701031,2011
327,Chaut,169,Melanoplus bivittatus,65,118,78,7,0,0,NA,268,2.100746269,2011
328,Chaut,176,Melanoplus bivittatus,73,109,70,25,8,0,NA,285,2.249122807,2011
329,Chaut,183,Melanoplus bivittatus,44,61,160,64,20,0,NA,349,2.871060172,2011
330,Chaut,190,Melanoplus bivittatus,10,12,60,75,18,3,NA,178,3.494382022,2011
331,Chaut,197,Melanoplus bivittatus,2,11,140,123,66,12,NA,354,3.779661017,2011
332,Chaut,203,Melanoplus bivittatus,0,9,60,60,45,29,NA,203,4.123152709,2011
333,Chaut,209,Melanoplus bivittatus,1,0,8,20,29,28,NA,86,4.860465116,2011
334,Chaut,216,Melanoplus bivittatus,0,0,0,7,25,62,NA,94,5.585106383,2011
335,Chaut,223,Melanoplus bivittatus,0,0,0,0,16,97,NA,113,5.85840708,2011
336,Chaut,230,Melanoplus bivittatus,0,0,0,0,4,80,NA,84,5.952380952,2011
426,Chaut,169,Melanoplus confusus,0,0,0,0,1,5,342.325,6,5.833333333,1959
427,Chaut,176,Melanoplus confusus,0,0,0,0,0,8,414.237,8,6,1959
428,Chaut,190,Melanoplus confusus,0,0,0,0,0,6,536.982,6,6,1959
429,Chaut,197,Melanoplus confusus,0,0,0,0,0,7,600.442,7,6,1959
430,Chaut,204,Melanoplus confusus,0,0,0,0,0,4,665.66,4,6,1959
431,Chaut,219,Melanoplus confusus,0,0,0,0,0,2,819.797,2,6,1959
537,Chaut,146,Melanoplus confusus,1,1,0,1,0,0,207.29,3,2.333333333,1960
538,Chaut,148,Melanoplus confusus,4,0,0,1,0,0,219.473,5,1.6,1960
539,Chaut,152,Melanoplus confusus,3,1,0,2,0,0,245.817,6,2.166666667,1960
540,Chaut,155,Melanoplus confusus,15,0,3,0,8,3,277.867,29,2.827586207,1960
541,Chaut,162,Melanoplus confusus,0,0,0,0,3,0,323.502,3,5,1960
542,Chaut,165,Melanoplus confusus,0,0,0,0,0,3,339.102,3,6,1960
543,Chaut,168,Melanoplus confusus,0,0,0,0,1,6,365.049,7,5.857142857,1960
544,Chaut,172,Melanoplus confusus,0,0,0,1,0,4,415.467,5,5.6,1960
545,Chaut,175,Melanoplus confusus,0,0,0,0,0,1,441.687,1,6,1960
546,Chaut,179,Melanoplus confusus,0,0,0,0,0,3,484.912,3,6,1960
547,Chaut,182,Melanoplus confusus,0,0,0,0,0,1,525.017,1,6,1960
548,Chaut,189,Melanoplus confusus,0,0,0,0,0,3,582.672,3,6,1960
549,Chaut,193,Melanoplus confusus,0,0,0,0,0,3,631.503,3,6,1960
550,Chaut,200,Melanoplus confusus,0,0,0,0,0,6,700.777,6,6,1960
551,Chaut,210,Melanoplus confusus,0,0,0,0,0,1,835.494,1,6,1960
552,Chaut,224,Melanoplus confusus,0,0,0,0,0,5,992.262,5,6,1960
36,Chaut,135,Melanoplus confusus,0,1,2,0,0,0,156.865,3,2.666666667,2007
37,Chaut,141,Melanoplus confusus,0,2,4,0,0,0,188.59,6,2.666666667,2007
38,Chaut,150,Melanoplus confusus,0,0,0,3,1,0,221.926,4,4.25,2007
39,Chaut,164,Melanoplus confusus,0,0,0,0,1,1,300.317,2,5.5,2007
69,Chaut,127,Melanoplus confusus,5,0,0,0,0,0,85.301,5,1,2008
72,Chaut,137,Melanoplus confusus,0,4,0,0,0,0,107.25,4,2,2008
76,Chaut,151,Melanoplus confusus,1,1,1,2,0,0,180.291,5,2.8,2008
81,Chaut,156,Melanoplus confusus,0,0,2,0,1,0,212.24,3,3.666666667,2008
87,Chaut,161,Melanoplus confusus,0,0,1,0,1,4,228.534,6,5.333333333,2008
